,article,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
5.21383E+17,Optimize Arduino Memory Usage,"Revista MundoLogística - Sistema desenvolvido por estudante do CTC/PUC-RIO gera economia de US$ 10 milhões, no transporte marítimo",11 Internet of Things (IoT) Protocols You Need to Know About,Bring Linux apps to the Mac Desktop with Docker,Programação Reativa Funcional com RxJava,"SINAIS do FUTURO imediato: #1, internet das coisas"
5.24776E+17,Graph-powered Machine Learning at Google,Google's Cloud Machine Learning service is now in public beta,The emerging Darwinian approach to analytics and augmented intelligence,Services | RaRe Technologies,Generative Models,Google lags behind Amazon and Microsoft's cloud in one important area
5.32565E+17,Orphan Black (TV Series 2013- ),Touch (TV Series 2012-2013),Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,Twitter adds a button to help you train its algorithm,Grow fast or die slow: Focusing on customer success to drive growth,8 things to expect from Google's biggest event of the year
5.39981E+17,Mastercard lança rival do Apple Pay e reforma seu logo,Blockchain Huge Potential For The Insurance Industry,Making digital strategy a reality in insurance,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",TI Bimodal? Receita para o desastre...,"Rakuten Acquires Bitnet, Plans to Open Blockchain Lab in Northern Ireland - Crowdfund Insider"
5.41471E+17,"Chatbots Are Your Newest, Dumbest Co-Workers",Conversational Banking; from branches to bots. - Chatbots Magazine,3Dprintler lets you order a 3D print via chatbot,"LendingRobot Lets You Monitor Your Portfolio Performance On Prosper, Lending Club, And Funding Circle",Ozlo The AI Chatbot Wants To Help You Find Coffee And Food,How a Chatbot Helped This Vinyl Records Startup Make $1 Million in 8 Months
5.49632E+17,Optimize Your Agile Growth Strategy with Cloud,"Razorfish, US digital revenues, drag down Publicis",NOW NEW NEXT: How growth champions create new value,GE Digital snags ServiceMax for $915 million,Indian outsourcing specialists must reboot their strategies,How AWS came to be
5.64282E+17,Scrum Community - Scrum Alliance,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/","PSA: iOS 9.3.5 fixes serious security exploit that exposed contacts, texts, calls, &amp; emails",Stay focused with Google Calendar event notifications in your browser,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,Saying �� to Allo and Duo: new apps for smart messaging and video calling
5.69574E+17,Mastering Bash and Terminal,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,Hedron: Or my dissatisfaction with local development #Drupal,Google's fair use victory is good for open source,Here's how Evernote moved 3 petabytes of data to Google's cloud,Amazon EBS Update - New Elastic Volumes Change Everything | AWS Blog
6.07685E+17,How This Former Google Engineer Is Bringing Blockchain to Banks,GE Digital snags ServiceMax for $915 million,What DeepMind brings to Alphabet,Nubank pode fechar as portas se BC confirmar mudança amanhã,Bradesco vai lançar novo banco digital: o Next.,Deck describing how MSFT plans to use Linkedin
6.21816E+17,AI Is Here to Help You Write Emails People Will Actually Read,Text summarization with TensorFlow,The AI business landscape,Google's official Project Wing logo revealed,Teaching machines to predict the future,8 things to expect from Google's biggest event of the year
6.23422E+17,Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket,Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,Google Now Posting Full OTA Images For Nexus Devices Alongside Factory Images,Client-side ranking to more efficiently show people stories in feed,Senado lança enquete para saber se você é contra ou a favor a franquia de dados para internet fixa,Live Event: Unveiling the GitLab Master Plan
6.26121E+17,Amazon just released a Dash button for AWS IoT,Flipping the office telepresence model,Inside the offices of New York's biggest startups,Big IT Rising,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,Gartner: em 2020 não haverá mais aplicativos
6.38283E+17,Machine Learning for Designers,The AI business landscape,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",Twitter adds a button to help you train its algorithm,8 things to expect from Google's biggest event of the year,Teaching machines to predict the future
6.43906E+17,Globant acquires WAE to continue advancing in the creation of digital journeys,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",Don't Waste Your Time on Networking Events,NOW NEW NEXT: How growth champions create new value,How AWS came to be,Piloto de caça criado por inteligência artificial vence humano em combate simulado
6.54383E+17,Million Song Dataset | scaling MIR research,The Skills You'll Need and the Salary You Can Expect as a Data Scientist,Elastic Stack 5.0.0 Released,"New functional programming language can generate C, Python code for apps","9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices",The new 64-bit Orange Pi is a quad-core computer for $20
6.60451E+17,Duolingo's chatbots help you learn a new language,Terms Aggregation in Elastic Search,O RH chega ao board,How the Communicator's Dilemma Made a 'Slack-lash' Inevitable,Why Deep Learning Is Suddenly Changing Your Life,Hiri wants to fix the workplace email problem
6.67643E+17,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,"Webinário gratuito ""Como analisar um AWR Report""",Practical VPC Design - AWS Startup Collection,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Migrating to the New Java 8 Date Time API | Baeldung
6.72199E+17,Labelling automated builds on Docker Hub - Microscaling Systems,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,Hedron: Or my dissatisfaction with local development #Drupal,Amazon EBS Update - New Elastic Volumes Change Everything | AWS Blog,Here's how Evernote moved 3 petabytes of data to Google's cloud,Google's fair use victory is good for open source
6.79006E+17,Mastercard libera APIs para quem quer desenvolver novas fintechs,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit",Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk,American Express ... and the Book of Mormon - Chris Skinner's blog,Nubank envia Pikachu para cliente que pediu desbloqueio de cartão e do Pokémon Go,Nubank pode fechar as portas se BC confirmar mudança amanhã
6.85074E+17,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,[Framework] Lean IT Governance,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,[Tools] XMind Plus - Last Chance for students' 1$ gift
7.11996E+17,[eBook] Enxugando a máquina - Paulo Caroli,[PDUs] Webinars Gravados realizados pelo PMI São Paulo e pela FIXE,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room","[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",[Videos] This fake TED Talk about nothing might be the best you've ever seen,[Webinar] PMI | Project Management Institute
7.17472E+17,Here's how Evernote moved 3 petabytes of data to Google's cloud,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,Hedron: Or my dissatisfaction with local development #Drupal,Google's fair use victory is good for open source,Build Quality In: The Key to Continuous Delivery in Kanban,New settings for 2-Step Verification
7.22931E+17,Serasa Experian realiza hackathon com prêmios de até R$10 mil - Startupi,SAMSUNG OCEAN - Novas turmas de treinamento de 2017 - Embarcados,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,Veja como funciona o assistente da Adobe que faz edições com comandos de voz
7.34633E+17,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,9 Non-Threatening Leadership Strategies for Women,Google employees are adding 'Lady' to their job titles to fight sexism,"Google's head of advertising talks ad blocking, mobile and micropayments",Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,Write Like You Talk
7.38762E+17,How to Install and Use the Linux Bash Shell on Windows 10,Configuring OSGi,Workspace Filter,Live Event: Unveiling the GitLab Master Plan,AEM 6.1 Package Manager Metadata Files,Adobe CQ/Adobe AEM
7.51529E+17,"Olhar Digital: Notícia: Testamos o HoloLens, os óculos do futuro da Microsoft",Aurelia 1.0 is Here!!!,7 Tips to Create a Company Learning Culture like Google - Without Resources,The Netflix Tech Blog: Distributed Resource Scheduling with Apache Mesos,Cloud Native Part 1: Definition,Learning How to Learn: The Most Important Developer Skill - Free Code Camp
7.64116E+17,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Jury finds Google's implementation of Java in Android was fair use,Analyst: Google's cloud business could cause the stock to soar to over $900,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,"In war for talent, 'brogrammers' will be losers"
7.84265E+17,My Top 9 Favorite Python Deep Learning Libraries - PyImageSearch,Omnitone: Spatial audio on the web,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine,Mapping the World of Music Using Machine Learning: Part 1 - iHeartRadio Tech Blog,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste",Machine learning at the museum: this week on Google Cloud Platform
7.86135E+17,Why Steve Jobs Was Proud to Steal Ideas,Understanding the Twitter topic Tracker,2016 will be the year of conversational commerce - Chris Messina,Gmail API: New endpoints for settings,Caravel: Airbnb's data exploration platform - Airbnb Engineering & Data Science,"Google I/O: Expect A.I., virtual reality"
8.09602E+17,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,What DeepMind brings to Alphabet,Cognitive Services-Intelligence Applications | Microsoft Azure,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Microsoft's Open Source Love Affair Reaches New Heights,Deck describing how MSFT plans to use Linkedin
8.17145E+17,Powering a more connected and collaborative enterprise,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",New Sessions Added To Google I/O 2016 Schedule,"Apple acquires Turi, a machine learning company",Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Google's AI engine is reading 2,865 romance novels to be more conversational"
8.26749E+17,The investment case for employing a Drupal core contributor - Dries Buytaert,"Thunder, a Drupal distribution for publishers",Google: Here's how a software update knocked out our App Engine cloud | ZDNet,Dries Buytaert,America's allies are preparing for a bumpy ride,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together
